Date,Open*,High,Low,Close**,Volume,Market Cap
2.Nov.17,1.89,2.34,1.88,2.25,"447,725,949","786,333,202"
3.Nov.17,1.84,1.91,1.78,1.89,"304,298,998","660,695,085"
4.Nov.17,1.78,2.05,1.76,1.84,"402,042,487","644,981,750"
5.Nov.17,2.11,2.11,1.6,1.78,"539,952,973","622,956,956"
6.Nov.17,2.14,2.36,2.05,2.11,"440,244,557","738,223,861"
7.Nov.17,2.43,2.5,2.1,2.14,"448,070,726","750,231,169"
8.Nov.17,2.06,2.71,1.51,2.42,"905,688,605","847,397,090"
9.Nov.17,3.82,3.83,1.97,2.06,"678,674,595","722,672,644"
10.Nov.17,4.09,4.11,3.6,3.82,"464,691,611","1,336,130,849"
11.Nov.17,4.09,4.2,3.95,4.08,"531,064,759","1,429,726,104"
12.Nov.17,4.08,4.34,3.68,4.06,"751,627,574","1,422,370,360"
13.Nov.17,4.35,4.43,3.9,4.09,"554,855,517","1,431,384,728"
14.Nov.17,4.68,4.68,4.34,4.34,"375,742,253","1,520,607,569"
15.Nov.17,4.72,4.75,4.57,4.68,"384,700,765","1,637,474,153"
16.Nov.17,4.64,4.89,4.64,4.72,"542,142,056","1,652,439,037"
17.Nov.17,4.58,4.95,4.56,4.64,"662,474,676","1,625,704,996"
18.Nov.17,4.21,4.66,4.15,4.58,"518,469,329","1,604,271,179"
19.Nov.17,3.88,4.31,3.83,4.22,"437,170,132","1,475,252,493"
20.Nov.17,4.11,4.2,3.79,3.88,"423,505,999","1,357,836,407"
21.Nov.17,4.16,4.35,4.11,4.11,"452,201,071","1,437,989,316"
22.Nov.17,3.95,4.2,3.79,4.16,"506,674,282","1,456,668,505"
23.Nov.17,3.6,4.11,3.46,3.95,"492,056,386","1,382,008,329"
24.Nov.17,3.51,3.83,3.34,3.6,"505,501,668","1,260,253,650"
25.Nov.17,3.91,3.95,3.51,3.51,"340,819,809","1,229,586,427"
26.Nov.17,4.24,4.27,3.82,3.91,"343,314,668","1,369,785,416"
27.Nov.17,4.11,4.36,4.09,4.24,"299,278,626","1,485,218,289"
28.Nov.17,4.29,4.34,4.07,4.1,"303,556,869","1,436,028,024"
29.Nov.17,4.27,4.48,4.21,4.29,"339,638,604","1,502,220,389"
30.Nov.17,4.4,4.47,4.13,4.27,"404,800,386","1,494,979,037"
1.Dec.17,4.55,4.82,4.36,4.4,"415,141,905","1,540,464,065"
2.Dec.17,4.3,4.59,4.16,4.54,"431,990,469","1,590,328,792"
3.Dec.17,4.49,4.55,3.88,4.3,"529,297,131","1,503,953,031"
4.Dec.17,4.31,4.83,4.15,4.5,"640,799,699","1,576,459,992"
5.Dec.17,4.41,4.61,4.11,4.3,"498,446,606","1,506,631,238"
6.Dec.17,3.88,4.47,3.81,4.41,"416,798,319","1,545,030,652"
7.Dec.17,4.02,4.09,3.77,3.87,"336,049,071","1,356,052,109"
8.Dec.17,3.98,4.19,3.87,4.03,"455,111,359","1,408,791,688"
9.Dec.17,3.41,3.98,3.36,3.98,"388,126,746","1,391,445,535"
10.Dec.17,3.48,3.48,3.29,3.41,"232,733,529","1,194,019,464"
11.Dec.17,3.41,3.48,3.27,3.48,"227,524,199","1,217,059,506"
12.Dec.17,3.3,3.45,3.15,3.41,"305,697,106","1,195,060,080"
13.Dec.17,2.88,3.35,2.88,3.31,"380,527,539","1,157,986,128"
14.Dec.17,2.85,2.93,2.81,2.88,"165,611,492","1,009,638,663"
15.Dec.17,2.74,2.87,2.73,2.85,"157,306,879","995,970,095"
16.Dec.17,2.77,2.8,2.69,2.74,"134,721,884","959,392,205"
17.Dec.17,2.83,2.86,2.76,2.77,"128,902,317","971,130,674"
18.Dec.17,2.84,2.89,2.74,2.83,"135,278,751","991,403,500"
19.Dec.17,2.82,2.87,2.76,2.84,"121,185,567","993,633,620"
20.Dec.17,2.92,2.92,2.78,2.82,"132,881,059","988,326,980"
21.Dec.17,2.78,2.94,2.72,2.91,"189,044,589","1,019,545,843"
22.Dec.17,2.66,2.81,2.65,2.79,"166,469,457","974,863,479"
23.Dec.17,2.61,2.67,2.6,2.66,"130,829,516","929,368,527"
24.Dec.17,2.57,2.68,2.57,2.61,"125,100,879","913,378,198"
25.Dec.17,2.46,2.57,2.44,2.57,"101,906,615","900,053,582"
26.Dec.17,2.5,2.51,2.43,2.46,"96,793,337","859,784,045"
27.Dec.17,2.47,2.53,2.37,2.5,"121,390,827","876,536,363"
28.Dec.17,2.65,2.65,2.44,2.46,"128,284,126","861,738,068"
29.Dec.17,2.68,2.69,2.63,2.65,"97,214,236","925,953,608"
30.Dec.17,2.7,2.74,2.58,2.67,"118,493,954","935,742,614"
31.Dec.17,2.62,2.74,2.55,2.7,"149,645,626","944,054,524"
1.Jan.18,2.78,2.84,2.56,2.62,"175,287,789","916,632,784"
2.Jan.18,2.72,2.79,2.6,2.77,"167,529,444","970,936,771"
3.Jan.18,2.48,2.84,2.47,2.72,"257,924,221","953,438,176"
4.Jan.18,2.41,2.5,2.3,2.48,"143,515,776","869,567,505"
5.Jan.18,2.38,2.57,2.36,2.4,"149,371,800","841,742,041"
6.Jan.18,2.19,2.45,2.18,2.39,"135,612,258","836,474,276"
